Designator,Mid X,Mid Y,Rotation,Layer
C1,176.9,-93.9,0.0,top
C2,120.3,-74.7,0.0,bottom
C3,116.1,-88.2,0.0,top
C4,156.55,-80.4,180.0,bottom
C5,106.0,-81.2,270.0,bottom
C6,117.35,-68.2,180.0,bottom
C7,119.4,-77.45,180.0,bottom
F1,110.4,-124.5,270.0,top
F10,177.7,-124.6,270.0,top
F11,185.0,-124.6,270.0,top
F12,192.0,-124.5,270.0,top
F13,191.8,-70.5,90.0,top
F14,185.3,-70.5,90.0,top
F15,178.1,-70.5,90.0,top
F16,171.2,-70.5,90.0,top
F17,111.7,-68.3,180.0,bottom
F2,116.9,-124.5,270.0,top
F3,123.7,-124.5,270.0,top
F4,131.1,-124.5,270.0,top
F5,138.2,-124.5,270.0,top
F6,145.0,-124.6,270.0,top
F7,157.2,-124.6,270.0,top
F8,163.9,-124.5625,270.0,top
F9,170.7,-124.6,270.0,top
J1,99.7,-96.1,0.0,top
J2,145.475,-99.86,90.0,top
J3,201.4,-96.075,0.0,top
MOD1,151.08,-97.37,0.0,top
Q1,111.52,-116.44,270.0,top
Q10,176.245,-116.415,270.0,top
Q11,183.42,-116.44,270.0,top
Q12,190.645,-116.44,270.0,top
Q13,190.48,-78.66,90.0,top
Q14,183.28,-78.66,90.0,top
Q15,176.02,-78.66,90.0,top
Q16,168.78,-78.66,90.0,top
Q17,154.6625,-94.9,180.0,top
Q18,154.6625,-91.4,180.0,top
Q19,158.8875,-102.5,270.0,top
Q2,118.7,-116.44,270.0,top
Q20,143.7875,-89.4125,270.0,top
Q3,125.9,-116.44,270.0,top
Q4,133.02,-116.44,270.0,top
Q5,140.2,-116.44,270.0,top
Q6,147.4,-116.44,270.0,top
Q7,154.545,-116.415,270.0,top
Q8,161.745,-116.415,270.0,top
Q9,168.995,-116.415,270.0,top
R1,111.8,-112.8,90.0,bottom
R10,178.52,-108.4,270.0,top
R11,185.72,-108.4,270.0,top
R12,192.92,-108.425,270.0,top
R13,188.2,-86.7,90.0,top
R14,181.0,-86.675,90.0,top
R15,173.7,-86.7,90.0,top
R16,166.5,-86.7,90.0,top
R17,152.3,-84.1,0.0,top
R18,159.0,-95.7,90.0,top
R19,151.8,-95.0,270.0,top
R2,118.9,-113.0,90.0,bottom
R20,151.8,-91.5,270.0,top
R21,159.0,-90.6,270.0,top
R22,123.2,-86.4,270.0,bottom
R23,124.7,-86.4,270.0,bottom
R24,129.5,-68.8,0.0,top
R25,129.6,-74.6,0.0,top
R26,126.2,-86.4,270.0,bottom
R27,127.7,-86.4,270.0,bottom
R28,157.12,-71.325,180.0,top
R29,157.12,-77.125,180.0,top
R3,126.2,-112.9,90.0,bottom
R30,182.5,-93.1,270.0,top
R31,186.0,-93.2,270.0,top
R32,184.2,-93.1,270.0,top
R33,108.4,-91.0,0.0,top
R34,143.7,-92.2,0.0,top
R35,147.3,-88.5,180.0,top
R36,129.6,-77.2,0.0,top
R37,129.6,-71.4,0.0,top
R38,157.2,-68.8,180.0,top
R39,157.2,-74.6,180.0,top
R4,133.3,-113.0,90.0,bottom
R5,140.5,-113.0,90.0,bottom
R6,147.4,-113.0,90.0,bottom
R7,154.5,-112.9,90.0,bottom
R8,164.02,-108.4,270.0,top
R9,171.32,-108.4,270.0,top
U1,173.4625,-99.8,270.0,top
U2,133.9,-92.3625,270.0,top
U3,136.5,-70.1,0.0,top
U4,121.9625,-95.0,0.0,top
U5,136.5,-75.9,0.0,top
U6,150.42,-70.025,180.0,top
U7,150.42,-75.825,180.0,top
U8,115.2,-72.4925,0.0,top
